threshold,slip_pt,full_trades,full_total_yen,full_avg_yen,full_winrate,full_maxdd_yen,full_pf,full_mar,train_trades,train_total_yen,train_avg_yen,train_winrate,train_maxdd_yen,train_pf,train_mar,test_trades,test_total_yen,test_avg_yen,test_winrate,test_maxdd_yen,test_pf,test_mar,post2020_trades,post2020_total_yen,post2020_avg_yen,post2020_winrate,post2020_maxdd_yen,post2020_pf,post2020_mar,roll1y_survive_pct,roll1y_profit_pct,roll1y_both_pct
0,0,3762,1822227,484.4,51.9,-99583,1.458,18.3,2447,445900,182.2,50.7,-99583,1.222,4.48,1315,1376327,1046.6,54.0,-57457,1.697,23.95,1557,1568665,1007.5,54.2,-57457,1.708,27.3,100.0,83.7,83.7
10,0,3560,1860617,522.6,52.3,-91077,1.49,20.43,2286,481783,210.8,50.9,-91077,1.257,5.29,1274,1378834,1082.3,54.6,-63551,1.717,21.7,1504,1572825,1045.8,54.8,-63551,1.73,24.75,100.0,87.6,87.6
20,0,3355,1856903,553.5,52.4,-85875,1.509,21.62,2121,460308,217.0,50.9,-85875,1.257,5.36,1234,1396596,1131.8,54.9,-55923,1.75,24.97,1457,1586549,1088.9,55.0,-55923,1.759,28.37,100.0,91.0,91.0
30,0,3158,1904820,603.2,53.0,-63599,1.548,29.95,1964,522936,266.3,51.8,-63599,1.316,8.22,1194,1381884,1157.4,55.0,-55923,1.759,24.71,1404,1585515,1129.3,55.3,-55923,1.782,28.35,100.0,93.4,93.4
40,0,2968,1911815,644.1,53.6,-64385,1.573,29.69,1803,550553,305.4,52.8,-64385,1.359,8.55,1165,1361262,1168.5,54.8,-55923,1.756,24.34,1363,1549238,1136.6,55.1,-55923,1.773,27.7,100.0,95.6,95.6
50,0,2782,1896973,681.9,53.9,-78037,1.591,24.31,1654,531513,321.4,53.0,-78037,1.366,6.81,1128,1365459,1210.5,55.2,-55923,1.776,24.42,1319,1557855,1181.1,55.4,-55923,1.797,27.86,100.0,94.6,94.6
60,0,2579,1909730,740.5,54.4,-62668,1.631,30.47,1496,559499,374.0,53.7,-62668,1.422,8.93,1083,1350231,1246.8,55.4,-55923,1.795,24.14,1264,1542325,1220.2,55.6,-55923,1.818,27.58,100.0,97.0,97.0
70,0,2411,1920641,796.6,54.4,-68694,1.667,27.96,1376,535261,389.0,53.4,-68694,1.423,7.79,1035,1385380,1338.5,55.7,-55923,1.857,24.77,1209,1572239,1300.4,55.8,-55923,1.873,28.11,100.0,97.8,97.8
80,0,2228,1891251,848.9,54.7,-83359,1.693,22.69,1230,511885,416.2,53.9,-83359,1.438,6.14,998,1379366,1382.1,55.7,-55923,1.883,24.67,1165,1553694,1333.6,55.9,-55923,1.891,27.78,100.0,96.5,96.5
90,0,2060,1887637,916.3,55.5,-73706,1.736,25.61,1104,514108,465.7,54.9,-73706,1.482,6.98,956,1373529,1436.7,56.2,-55923,1.918,24.56,1116,1527943,1369.1,56.2,-55923,1.912,27.32,100.0,99.2,99.2
100,0,1917,1907221,994.9,55.7,-55923,1.792,34.1,994,518767,521.9,54.8,-46732,1.542,11.1,923,1388454,1504.3,56.8,-55923,1.958,24.83,1068,1543809,1445.5,56.7,-55923,1.957,27.61,100.0,99.6,99.6
110,0,1775,1892207,1066.0,56.2,-65601,1.839,28.84,899,537067,597.4,55.7,-48880,1.624,10.99,876,1355140,1547.0,56.7,-65601,1.971,20.66,1012,1506049,1488.2,56.7,-65601,1.97,22.96,100.0,99.7,99.7
120,0,1640,1910115,1164.7,56.7,-65601,1.919,29.12,800,563724,704.7,56.7,-35082,1.752,16.07,840,1346391,1602.8,56.8,-65601,2.014,20.52,964,1487143,1542.7,56.6,-65601,2.005,22.67,100.0,100.0,100.0
130,0,1534,1872121,1220.4,56.9,-65601,1.95,28.54,725,530001,731.0,56.8,-35082,1.76,15.11,809,1342120,1659.0,57.0,-65601,2.054,20.46,924,1483424,1605.4,57.0,-65601,2.048,22.61,100.0,100.0,100.0
140,0,1435,1857126,1294.2,57.3,-65601,1.989,28.31,655,502142,766.6,56.7,-37149,1.763,13.52,780,1354983,1737.2,57.8,-65601,2.111,20.65,887,1488662,1678.3,57.6,-65601,2.095,22.69,100.0,100.0,100.0
150,0,1329,1866821,1404.7,58.1,-65601,2.065,28.46,580,532671,918.4,58.4,-24082,1.932,22.12,749,1334150,1781.2,57.9,-65601,2.129,20.34,849,1480443,1743.7,58.1,-65601,2.138,22.57,100.0,100.0,100.0
160,0,1227,1867008,1521.6,58.8,-65601,2.159,28.46,523,550452,1052.5,59.4,-24082,2.107,22.86,704,1316556,1870.1,58.4,-65601,2.182,20.07,796,1476492,1854.9,58.5,-65601,2.216,22.51,100.0,100.0,100.0
170,0,1149,1851832,1611.7,59.6,-65601,2.204,28.23,478,536176,1121.7,60.4,-24082,2.152,22.26,671,1315656,1960.7,59.0,-65601,2.227,20.06,758,1478479,1950.5,59.2,-65601,2.267,22.54,100.0,100.0,100.0
180,0,1066,1813488,1701.2,60.1,-64409,2.272,28.16,426,499507,1172.6,60.2,-29950,2.213,16.68,640,1313980,2053.1,60.0,-64409,2.296,20.4,720,1452036,2016.7,60.0,-64409,2.312,22.54,100.0,100.0,100.0
190,0,977,1811605,1854.3,60.7,-64409,2.4,28.13,366,508792,1390.1,62.2,-17743,2.561,28.68,611,1302813,2132.3,59.7,-64409,2.346,20.23,683,1428126,2091.0,59.6,-64409,2.357,22.17,100.0,100.0,100.0
200,0,915,1805308,1973.0,61.7,-64409,2.498,28.03,325,491385,1512.0,63.9,-17743,2.692,27.69,590,1313924,2227.0,60.5,-64409,2.436,20.4,657,1435029,2184.2,60.4,-64409,2.441,22.28,100.0,100.0,100.0
210,0,857,1736477,2026.2,62.0,-66886,2.492,25.96,297,466283,1570.0,64.5,-17743,2.691,26.28,560,1270194,2268.2,60.7,-66886,2.43,18.99,625,1383639,2213.8,60.5,-66886,2.427,20.69,100.0,100.0,100.0
220,0,797,1700336,2133.4,62.9,-66886,2.564,25.42,265,435068,1641.8,64.8,-17743,2.727,24.52,532,1265268,2378.3,62.0,-66886,2.515,18.92,596,1380490,2316.3,61.7,-66886,2.509,20.64,100.0,100.0,100.0
230,0,729,1714070,2351.3,63.5,-37497,2.791,45.71,235,448043,1906.6,65.8,-17743,3.166,25.25,494,1266028,2562.8,62.3,-37497,2.688,33.76,555,1390459,2505.3,62.2,-37497,2.697,37.08,100.0,100.0,100.0
240,0,672,1625843,2419.4,62.9,-37497,2.758,43.36,206,416252,2020.6,66.3,-17743,3.185,23.46,466,1209591,2595.7,61.4,-37497,2.647,32.26,521,1316966,2527.8,61.2,-37497,2.646,35.12,100.0,100.0,100.0
250,0,624,1601731,2566.9,63.1,-37497,2.857,42.72,186,398285,2141.3,66.5,-17743,3.285,22.45,438,1203446,2747.6,61.6,-37497,2.749,32.09,488,1308511,2681.4,61.5,-37497,2.747,34.9,100.0,100.0,100.0
260,0,568,1546081,2722.0,63.3,-37497,2.921,41.23,160,366400,2290.0,67.3,-17743,3.421,20.65,408,1179682,2891.4,61.8,-37497,2.805,31.46,454,1281741,2823.2,61.5,-37497,2.805,34.18,100.0,100.0,100.0
270,0,515,1528100,2967.2,64.6,-37497,3.096,40.75,136,336659,2475.4,68.1,-17743,3.608,18.97,379,1191441,3143.6,63.3,-37497,2.986,31.77,419,1295615,3092.2,63.2,-37497,3.001,34.55,100.0,100.0,100.0
280,0,475,1558133,3280.3,66.9,-37497,3.45,41.55,121,337885,2792.4,71.1,-17743,4.049,19.04,354,1220248,3447.0,65.5,-37497,3.323,32.54,389,1325054,3406.3,65.6,-37497,3.358,35.34,100.0,100.0,100.0
290,0,452,1511920,3345.0,66.8,-37497,3.46,40.32,109,317335,2911.3,71.6,-17743,4.334,17.88,343,1194585,3482.8,65.3,-37497,3.3,31.86,377,1296176,3438.1,65.3,-37497,3.331,34.57,100.0,100.0,100.0
300,0,427,1497397,3506.8,67.4,-37497,3.586,39.93,97,306731,3162.2,74.2,-11385,4.929,26.94,330,1190667,3608.1,65.5,-37497,3.376,31.75,361,1294476,3585.8,65.7,-37497,3.436,34.52,100.0,100.0,100.0
310,0,388,1468541,3784.9,68.8,-37497,3.826,39.16,77,280144,3638.2,75.3,-8654,6.142,32.37,311,1188397,3821.2,67.2,-37497,3.555,31.69,337,1303052,3866.6,67.7,-37497,3.717,34.75,100.0,100.0,100.0
320,0,363,1396191,3846.3,68.3,-37497,3.828,37.23,67,242409,3618.0,76.1,-8275,6.799,29.29,296,1153782,3897.9,66.6,-37497,3.553,30.77,319,1248680,3914.4,66.8,-37497,3.679,33.3,100.0,100.0,100.0
330,0,331,1358266,4103.5,68.3,-37497,4.149,36.22,55,221532,4027.8,76.4,-7446,7.404,29.75,276,1136734,4118.6,66.7,-37497,3.865,30.32,295,1221983,4142.3,66.8,-37497,3.978,32.59,100.0,100.0,100.0
